name,description,occupation,main_category,instagram_talent,youtube_talent,goal,facebook,tiktok,x_twitter,linkedin,talent_card_image_url,talent_profile_image_url,club,city,prize1,prize2,prize3,prize4,prize5,main_nationality,birthdate,card_video
shahmalarani,"Shahmalarani Chandran is a distinguished Malaysian karateka who has made significant contributions to the sport both nationally and internationally. Beginning her karate journey at the age of 12, she quickly ascended the ranks, showcasing exceptional talent and dedication. Shahmalarani is an eight-time national champion and has secured two gold medals at the Southeast Asian (SEA) Games. Notably, she became the first Malaysian athlete to win consecutive gold medals at the World Karate Federation (WKF) Karate 1 Series A championships. Beyond her athletic achievements, Shahmalarani is an actuarial science graduate and is pursuing her Master's degree. She is also an aspiring teacher, having dedicated over seven years to teaching, aiming to inspire and educate future generations. Her journey exemplifies the harmonious balance between academic pursuits and athletic excellence, serving as an inspiration to many.",Karate,Fight Sports,shahmalarani,,⭐ Be The Best In Karate,,,,,https://media.peaxel.me/46.png,https://media.peaxel.me/45.png,,Klang,"Gold Medal, SEA Games, Women's Kumite -50kg, May 6, 2023","Gold Medal, WKF Karate 1 Series A Championship, Larnaca, Cyprus, March 2023","Gold Medal, SEA Games, Women's Kumite -50kg, 2022","Bintang Kecemerlangan Sukan (BKS) Award, December 12, 2022","Silver Medal, ASEAN Karate Games (AKF), 2016",🇲🇾 Malaysia,1998-12-12,https://media.peaxel.me/shahmalarani.mp4
shauna_okeeffe_boxer,"Shauna Browne, also known as Shauna O'Keeffe, is an accomplished Irish boxer hailing from Clonmel, Ireland. She began her boxing journey at the age of 14 and has since developed into a formidable athlete in the sport. In January 2023, Shauna secured the National Elite Championship title in the 63kg weight category, defeating Winnie Christina McDonagh with a unanimous 5-0 decision. This victory marked her first National Elite title since 2015, highlighting her resilience and dedication to boxing. Transitioning to the professional arena, Shauna made her pro debut on December 23, 2023, at York Hall in Bethnal Green, where she achieved a victory over Vaida Masiokaite. She continued her professional career with wins against Angelika Oles on March 24, 2024, at the Salthill Leisureland Complex in Galway, and Valgerdur Gudsteinsdottir on September 24, 2024, at the 3Arena in Dublin. As of November 2024, Shauna holds an undefeated professional record of 3-0, with two wins by knockout. Her southpaw stance and strategic approach in the ring have made her a prominent figure in Irish boxing, inspiring many aspiring athletes.
 ",Boxing,Fight Sports,shauna_browne_boxer,,⭐ Be The Best In Boxing,,,,,https://media.peaxel.me/20.png,https://media.peaxel.me/19.png,Clonmel Boxing Club,Clonmel,"National Elite Championship 63kg Winner - January 21, 2023","Professional Debut Victory over Vaida Masiokaite - December 23, 2023","Victory over Angelika Oles - March 24, 2024","Victory over Valgerdur Gudsteinsdottir - September 24, 2024","Undefeated Professional Record: 3 Wins, 0 Losses (2 KOs) as of November 2024",🇮🇪 Ireland,1994-06-21,https://media.peaxel.me/shauna94.mp4
snizhanababaieva,"Snizhana Babaieva is a distinguished professional arm wrestler known for her exceptional strength and technique in the sport. Competing in the 50 kg weight category, she has achieved significant success on the international stage. Notably, Snizhana secured the second place in the left-hand finals at the European Armwrestling Championship 2024, held in Paris. Her dedication to arm wrestling is evident through her consistent participation in major tournaments, where she has demonstrated remarkable resilience and skill. Snizhana's commitment to excellence continues to inspire many within the arm wrestling community.",Arm Wrestling,Strength Sports,snizhanababaieva,,⭐ Be The Best In Arm Wrestling,,,,,https://media.peaxel.me/158.png,https://media.peaxel.me/157.png,,Zurich,"Silver Medalist, European Armwrestling Championship (Left Hand, 50 kg) 2024","Gold Medalist, Zloty Tur Armwrestling World Cup (Left Hand, 52 kg) 2018","Bronze Medalist, WAF World Armwrestling Championships (Left Hand, 50 kg) 2022","Gold Medalist, European Armwrestling Championships (Left Hand, 50 kg) 2009","Silver Medalist, WAF World Armwrestling Championships (Left Hand, 50 kg) 2010",🇨🇭 Switzerland,1988-03-27,https://media.peaxel.me/snizhanababaieva.mp4
so_tanaka,"So Tanaka is a Japanese downhill skateboarder renowned for his exceptional freeriding skills and ambidextrous style. Originally from Japan, he has spent significant time in Australia and Canada, contributing to his diverse skateboarding techniques. Tanaka began his journey with a Landyachtz Dinghy, pursuing the thrill of sliding, and has since evolved into one of the world's most talented freeriders. He is affiliated with Landyachtz, a prominent skateboard company, and has been featured in various skateboarding videos and media, showcasing his dynamic performances on challenging terrains.",Skateboarding,Extreme Sports,so_tanaka_,,⭐ Be The Best In Skateboarding,,,,,https://media.peaxel.me/28.png,https://media.peaxel.me/27.png,Landyachtz,,,,,,,🇯🇵 Japan,1997-11-01,https://media.peaxel.me/so_tanaka.mp4
Somi_romdhani,"Somi Romdhani, born on 1998, is a professional badminton player representing the United Arab Emirates (UAE). As of November 2024, he holds a world ranking of 133 in men's singles and a World Tour ranking of 259. Romdhani has accumulated 33 career wins in men's singles, showcasing his dedication and skill in the sport. In 2024, he participated in several international tournaments, including the Asia Championships and the Abu Dhabi Masters. Notably, he reached the Round of 16 at the Asia Championships, where he faced top-tier opponents. Romdhani's commitment to badminton is evident through his consistent participation in international competitions, aiming to elevate his performance and represent the UAE on the global stage.
 ",Badminton,Olympic Sports,Somi_romdhani,,⭐ Be The Best In Badminton,,,,,https://media.peaxel.me/38.png,https://media.peaxel.me/romdhani_profile.png,UAE Badminton Federation,Abu Dhabi,"Reached Round of 16 at the Asia Championships - April 11, 2024","Participated in the Abu Dhabi Masters - October 17, 2023","Competed in the Ruichang China Masters - March 19, 2024","Participated in the Uganda International Challenge - February 21, 2024","Competed in the Azerbaijan International - February 8, 2024",🇦🇪 United Arab Emirates,1998-01-28,https://media.peaxel.me/somi_romdhani.mp4
tao_kreibich,"Tao Kreibich is a professional freeride skier from Austria, renowned for his dynamic and fearless approach to big mountain skiing. Based in Innsbruck, he has been a prominent figure in the freeride community, competing in the Freeride World Tour (FWT) during the 2019/20 and 2020/21 seasons. Tao's passion for skiing is evident in his pursuit of challenging lines and his commitment to pushing the boundaries of the sport. He has achieved notable success in various competitions, including first-place finishes in events such as Engadin Snow 2022 and multiple Freeride World Qualifier (FWQ) competitions. Beyond competitions, Tao shares his adventures and experiences through his YouTube channel, 'The Life of Tao,' where he documents his skiing journeys across Austria and other international destinations. His dedication to the sport and his engaging content have made him a respected and influential figure in the skiing community.
",Skiing,Winter Sports,tao_kreibich,LifeofTao,⭐ Be The Best In Skiing,,,,,https://media.peaxel.me/52.png,https://media.peaxel.me/51.png,Peak Performance,Innsbruck,"1st Place - Engadin Snow, 2022","1st Place - FWQ 2* Kappl, 2019","1st Place - FWQ 2* The Remarkables, 2019","1st Place - FWQ 2* Gastein, 2019","Austrian Freeride Master, 2017",🇦🇹 Austria,1997-11-04,https://media.peaxel.me/tao_kreibich.mp4
termoosaa,"Dimitar Djuparov is a Bulgarian mountain biker known for his participation in various mountain biking events. He has been associated with the mountain biking community in Blagoevgrad, Bulgaria, and has showcased his skills in downhill and cross-country disciplines.",Mountain Biking,Extreme Sports,termoosaa,,"🚵‍♂️ Recover from serious injury, return stronger, and qualify for the World Cup final.",,,,,https://media.peaxel.me/34.png,https://media.peaxel.me/termoosa_talent.png,,Blagoevgrad,,,,,,🇧🇬 Bulgaria,2007-12-17,https://media.peaxel.me/termoosaa.mp4
TheLithuanianSavage,"Deividas Danyla, born in Kaunas, Lithuania, is a professional Muay Thai fighter known as 'The Lithuanian Savage.' Standing at 5 feet 7 inches and competing in the 145-pound weight class, Danyla began his martial arts journey at the age of 10, training at Titanas Gym in his hometown. His dedication to Muay Thai led him to Thailand in 2015, where he immersed himself in the sport's culture and honed his skills. Danyla has competed internationally, including bouts in ONE Championship's Super Series. Notably, he faced Saemapetch Fairtex in July 2018 and Kenta Yamada in May 2019. Throughout his career, Danyla has earned titles such as the IMC Muay Thai World Champion and WKN European Champion. He continues to train and compete, representing Lithuanian martial arts on the global stage.",Muay Thai,Fight Sports,deividas.danyla,,⭐ Be The Best In Muay Thai,,,,,https://media.peaxel.me/44.png,https://media.peaxel.me/43.png,Sitsongpeenong Phuket Muay Thai Camp,Kaunas,,,,,,🇱🇹 Lithuania,1991-12-18,https://media.peaxel.me/lithuanian_savage.mp4
Thibaultrunning,"Thibault Delacroix, originally from France, is an ultra-distance runner and certified running coach currently residing in Adelaide, Australia. His running journey began in 2018 as a means to quit smoking, leading to a passion for long-distance running. Thibault achieved back-to-back victories at the Tassie Trail Fest 100-mile race in Tasmania, finishing in 24:52:34 in 2021 and improving to 23:23:43 in 2022. In 2023, he completed his first backyard ultra, Hysterical Carnage, further testing his endurance and mental resilience. Thibault is pursuing the TripleCrownunder Grand Master title, aiming to complete three 200-mile races in Australia within a year: the Delirious WEST 200 miler in February 2024, the Irrational SOUTH 200 miler in April 2024, and the Unreasonable EAST 200 miler in August 2024. As a UESCA-certified running coach, he shares his knowledge and experience through personalized training plans and support, helping others achieve their running goals.
  ",Ultra Running,Adventure,Thibault.running,,⭐ Be The Best In Ultra Running,,,,,https://media.peaxel.me/138.png,https://media.peaxel.me/137.png,,Adelaide,First Place at Tassie Trail Fest 100-mile – July 2021,First Place at Tassie Trail Fest 100-mile – July 2022,Completed Hysterical Carnage Backyard Ultra – March 2023,Qualified UESCA Running Coach – September 2021,Qualified UESCA Running Coach – September 2021,🇫🇷 France,1999-05-01,https://media.peaxel.me/thibault_running.mp4
tkdemelyanenko,"Oleksandr Yemelianenko is a Ukrainian taekwondo athlete known for his dedication to the sport. He actively shares his training routines and competition experiences on his Instagram account, @tkdemelyanenko. Through his social media presence, Oleksandr provides insights into his journey in taekwondo, showcasing his commitment to excellence and the discipline required in martial arts.
  ",Taekwondo,Fight Sports,tkdemelyanenko,,🥋 Build a top taekwondo presence on Instagram and reach 1 million followers,,,,,https://media.peaxel.me/10.png,https://media.peaxel.me/9.png,,,,,,,,🇺🇦 Ukraine,1989-11-14,https://media.peaxel.me/tkdemel.mp4
tomic_13,"Tomic Kluzniak is an accomplished wingsuit pilot and instructor originally from Australia. He has garnered significant experience in the field, serving as a Flight Master at Indoor Wingsuit Stockholm, where he trains both novice and seasoned wingsuit pilots. Tomic has also represented Australia in international competitions, including the 4th FAI World Wingsuit Flying Championships in 2022, where he achieved notable rankings. His expertise extends to coaching roles, such as being a wingsuit load organizer for events like the Xmas Boogie at Skydive Spain. Tomic's dedication to the sport is evident through his continuous involvement in both competitive and instructional capacities.",Wingsuit,Extreme Sports,tomic_13,,"🪂 Push the limits of what's possible in wingsuiting, always striving for new heights and records.",,,,,https://media.peaxel.me/70.png,https://media.peaxel.me/69.png,Indoor Wingsuit Stockholm,,"4th place in the 4th FAI World Wingsuit Flying Championships - October 2022"",
   ",Flight Master at Indoor Wingsuit Stockholm,Wingsuit Load Organizer at Skydive Spain's Xmas Boogie,,,🇦🇺 Australia,1984-12-22,https://media.peaxel.me/tomic_13.mp4
tphilly1_,"Tumi 'God's Own' Phillips, born in Chatham, Kent, United Kingdom, is a professional welterweight boxer. Standing at 5'10\"" (178 cm), he made his professional debut on September 7, 2024, at the Brentwood Centre in Essex, securing a victory over Stefan Vincent. Phillips is managed by Leon Sudbury and fights out of Sidcup, Kent. Known for his dedication and ambition, he aims to make a significant impact in the boxing world.
  ",Boxing,Fight Sports,tphilly1_,,⭐ Be The Best In Boxing,,,,,https://media.peaxel.me/4.png,https://media.peaxel.me/3.png,,Sidcup,Pro Boxing Record: 1-0-0,Welterweight Division,Managed by Leon Sudbury,"Fights out of Sidcup, Kent",Debut Victory over Stefan Vincent,🇬🇧 United Kingdom,,https://media.peaxel.me/tphilly.mp4
Valerievanroon,"Valerie van Roon, born in Delft, Netherlands, is a distinguished Dutch swimmer specializing in freestyle and breaststroke events. She began her international career at the 2014 European Junior Championships, securing bronze in the 50m freestyle and the mixed freestyle relay. In 2017, at the European Short Course Championships, Valerie was part of the Dutch 4×50m freestyle relay team that set a world record with a time of 1:33.91. Her success continued at the 2018 FINA World Championships, where she contributed to the Dutch team's silver medals in both the women's 4×50m and 4×100m freestyle relays. In 2019, she clinched gold in the 4×50m freestyle relay at the European Short Course Championships. Valerie's individual prowess was highlighted at the 2022 European Aquatics Championships, where she earned a bronze medal in the 50m freestyle. In April 2024, she secured her spot for the Paris 2024 Olympics by setting a personal best of 24.62 seconds in the 50m freestyle at the Eindhoven Qualification Meeting. Valerie is recognized for her speed and consistency in sprint events, making her a key figure in Dutch swimming.
  ",Swimming,Water Sports,Valerievanroon,v4lerievanroon,🏊🏻‍♀️ Road to LA 2028,,,,,https://media.peaxel.me/126.png,https://media.peaxel.me/125.png,De Dolfijn Amsterdam,Amsterdam,"Bronze Medal in 50m Freestyle at European Aquatics Championships – August 16, 2022","Gold Medal in 4×50m Freestyle Relay at European Short Course Championships – December 15, 2017","Silver Medal in 4×50m Freestyle Relay at FINA World Championships – December 11, 2018","Silver Medal in 4×100m Freestyle Relay at FINA World Championships – December 11, 2018","Qualified for Paris 2024 Olympics with Personal Best in 50m Freestyle – April 14, 2024",🇳🇱 Netherlands,1998-08-13,https://media.peaxel.me/valerievanroon.mp4
victor_crouin,"Victor Crouin, born on June 16, 1999, in Marseille, France, is a professional squash player who has rapidly ascended the global rankings. He began his squash journey at a young age, showcasing exceptional talent in junior competitions. Crouin reached the finals of both the World Junior Championships and the British Junior Open, narrowly missing titles to Marwan Tarek. Balancing academics and athletics, he pursued an economics degree at Harvard University while actively competing in collegiate squash from 2018 to 2022. His dedication paid off in March 2022 when he defeated then-world number one Paul Coll at the Canary Wharf Squash Classic. This victory was a precursor to his entry into the world's top 10 rankings in September 2022, following a runner-up finish at the Qatar Classic and a triumph at the Open de France. By March 2023, Crouin achieved a career-high ranking of world number seven. Known for his strategic play and resilience on the court, he continues to be a prominent figure in international squash, representing France in various competitions.",Squash,Olympic Sports,victor_crouin,,"🏆 Pursue the road to LA 2028, making it the ultimate mid-term and long-term goal in squash.",victorcrouin,,victorcrouin,victorcrouin,https://media.peaxel.me/v_crouin_card.png,https://media.peaxel.me/vcrouin_front.png,Open Squash,Toulon,"Champion, Open de France, September 2022","Runner-up, Qatar Classic, September 2022","Champion, Squash On Fire Open, February 2023","European Individual Champion, June 2024","French National Champion, 2023 and 2024",🇫🇷 France,1999-06-16,https://media.peaxel.me/victor_crouin.mp4
VitorColibri,"Vitor Souza, widely recognized as 'Vitor Colibri,' is a professional skateboarder hailing from Rio de Janeiro, Brazil. Born on July 19, 1998, he began skateboarding at a young age, quickly developing a passion for the sport. Vitor is known for his technical skills and creative approach to street skateboarding, often showcasing his talent at local spots like Praça Duó. Over the years, he has built a substantial online presence, sharing his skateboarding journey through various social media platforms, including YouTube and TikTok. His engaging content has garnered a significant following, inspiring many aspiring skateboarders. Vitor continues to push the boundaries of his craft, participating in competitions and collaborating with fellow skaters to promote the skateboarding culture in Brazil.
 ",Skateboarding,Extreme Sports,VitorColibri,vitorcolibri,⭐ Be The Best In Skateboarding,,,,,https://media.peaxel.me/128.png,https://media.peaxel.me/127.png,,Rio de Janeiro,Featured in 'Conta Tua Historia' series – October 2017,Collaborated with Blessed Agency – 2021,Participated in 'Desafio de 1 hora de SKATE' – April 2018,"Achieved over 100,000 followers on TikTok – 2023",Released multiple skateboarding videos on YouTube – 2017-2024,🇧🇷 Brazil,1998-07-19,https://media.peaxel.me/vitorcolibri.mp4
wdancaster,"Whitney Dancaster is an accomplished American ultra runner based in St. Petersburg, Florida. With over two decades of coaching experience and certifications from NASM and USA Triathlon, she has made significant strides in the ultra-running community. Whitney has achieved notable placements in various races, including a first-place finish in the 50K category at the 2024 Keys Ultras with a time of 5:50:31. She is affiliated with the St. Pete Pro Team and has partnerships with brands such as Firefly Recovery, Newton Running, Celsius, Zensah, The Feed, Garmin, and RNNR. Her dedication to the sport is evident through her consistent performances and active engagement with the running community."",
  ",Ultra Running,Extreme Sports,wdancaster,,⭐ Be The Best In Ultra Running,,,,,https://media.peaxel.me/12.png,https://media.peaxel.me/11.png,St. Pete Pro Team,St Petersburg,"First Place Female, 2024 Keys Ultras 50K",Elite Ultra Runner with multiple top finishes,Certified NASM and USA Triathlon Coach,,,🇺🇸 United States,1988-10-06,https://media.peaxel.me/wdancaster.mp4
Willkroos,"Will Kroos, known as 'The Headline,' is a prominent British professional wrestler hailing from Worksop, Nottinghamshire. Standing at 6 feet 3 inches and weighing 275 pounds, Kroos combines the power of a heavyweight with the agility of a cruiserweight, making him a formidable presence in the ring. Since his debut in 2017, he has competed across various UK promotions, including British Wrestling Revolution, Fight Factory Wrestling, Tidal Championship Wrestling, All Star Wrestling, World Association Wrestling, World Wide Wrestling, Hope Wrestling, and House of Pain Wrestling. Kroos is recognized for his signature move, the 'Kroosification' piledriver variant, and has held multiple titles, such as the Fight Factory Wrestling Heavyweight Championship. His dynamic style and impressive skill set have established him as a standout talent in the British wrestling scene.",Wrestling,Fight Sports,Willkroos,,⭐ Be The Best In Wrestling,officialWillKroos,,willkroos,,https://media.peaxel.me/36.png,https://media.peaxel.me/35.png,Fight Factory Wrestling,Worksop,Fight Factory Wrestling Heavyweight Champion (2 times),,,,,🇬🇧 United Kingdom,1996-10-28,https://media.peaxel.me/willkroos.mp4
willpenny,"Will Penny is a distinguished skydiver and coach, originally from South Africa, who has made significant contributions to the sport. Growing up at the Bophuthatswana Skydiving Club, owned by his parents, he was immersed in skydiving from an early age. By 15, he was already jumping solo. In 2004, Will relocated to Empuriabrava, Spain, to pursue skydiving full-time. He became a member of the renowned Babylon Freefly team, known for its excellence in freefly skydiving. Later, he partnered with Yohann Aby to form the freestyle team Flynamik, achieving multiple world championships and World Cup victories. Beyond competition, Will is dedicated to advancing skydiving safety and education. He has been a CYPRES athlete since 2007, emphasizing the importance of understanding equipment and procedures. Additionally, he is involved in establishing The Care-All Foundation, aimed at supporting the skydiving and BASE communities in post-incident recovery.
",Skydiving,Extreme Sports,will.penny_,,⭐ Be The Best In Skydiving,will.penny.779,,,,https://media.peaxel.me/24.png,https://media.peaxel.me/23.png,Babylon Freefly,Empuriabrava,World Air Games Winner,Double World Cup Winner,,,,🇿🇦 South African,1981-09-17,https://media.peaxel.me/willpenny.mp4
xaviergilbee,"Xavier Gilbee is a professional BMX rider from Montmorency, Victoria, Australia. Known for his dynamic and high-energy riding style, Xavier has competed in multiple BMX freestyle events, consistently showcasing his talent and dedication to the sport. He trains regularly and participates in both national and international competitions, highlighting his commitment and passion for BMX. Xavier's impressive performances in freestyle BMX have made him a rising figure in the extreme sports scene.",BMX,Extreme Sports,xaviergilbee,,⭐ Be The Best In BMX,,,,,https://media.peaxel.me/86.png,https://media.peaxel.me/85.png,RampFest Indoor Skate Park,Montmorency,"4th Place - Elite Men's Category, Freestyle BMX Nationals Championships, Melbourne, Australia - February 2024","21st Place - Men's Park Competition, UCI BMX Freestyle World Cup, Shanghai, China - October 2024","Participant - BMX Stunt Shows at Craigieburn Festival, Victoria, Australia - July 2023",,,🇦🇺 Australia,,https://media.peaxel.me/xaviergilbee.mp4
yanatsion,"Yana Tsion is a professional tennis player from Spain, born on September 20, 2006. She began her tennis journey at a young age, quickly ascending through the junior ranks with her dedication and skill. Tsion is known for her right-handed play and preference for clay courts, which complement her aggressive baseline style and strategic approach. Over the years, she has participated in various ITF Women's Circuit tournaments, gaining valuable experience and showcasing her potential. Tsion's commitment to the sport is evident in her continuous efforts to improve her game and compete at higher levels. As of November 2024, she continues to train and participate in tournaments, aiming to make a significant impact on the professional tennis scene.",Tennis,Olympic Sports,yanatsion,,⭐ Be The Best In Tennis,,,,,https://media.peaxel.me/144.png,https://media.peaxel.me/143.png,Real Club de Tenis Barcelona,Barcelona,"Reached the quarterfinals at the ITF Spain 34A, Women Singles, on October 6, 2024","Advanced to the second round at the ITF Egypt 18A, Women Singles, on October 28, 2024","Participated in the ITF Spain 43A, Women Doubles, on October 15, 2024","Competed in the ITF Spain 42A, Women Singles, on October 20, 2024","Played in the ITF Spain 44A, Women Singles, on September 9, 2024",🇪🇸 Spain,,https://media.peaxel.me/yanatsion.mp4
alifreestylr,"Ali Yahia Ouahmed is a prominent Algerian freestyle football athlete who gained significant recognition in 2023. He clinched the title of African Freestyle Football Champion at the Freestyle Connect Africa 2023 competition held in Cairo, Egypt, on November 14, 2023. This victory qualified him to represent Africa at the World Freestyle Football Championship in Nairobi, Kenya, on November 25, 2023. The competition in Cairo featured 14 elite athletes from across the continent and was judged by renowned freestyle legends. Ali's performance showcased his exceptional skill and dedication to the art of freestyle football.",Freestyle Football,Performances & Arts,alifreestylr,,⭐ Be The Best In Freestyle Football,,,,,https://media.peaxel.me/alifreestylr_card.png,https://media.peaxel.me/alifreestylr_talent.png,,Sfisef,African Freestyle Football Champion - 2023,,,,,🇩🇿 Algeria,1998-01-27,https://media.peaxel.me/alifreestylr_video.mp4
julien_guerin,"Julien Guerin is a French racing driver who began his motorsport journey through karting and simulator competitions. In 2023, he won the WRF Simulator Challenge organized by Wolf Racing France, which led to his first real-world test in a Wolf Thunder GB08 at the Albi circuit. Following this experience, he joined Wolf Racing France for the 2024 season, aiming to compete in the Coupe de France des Circuits. Julien is focused on gaining experience and improving his performance in the prototype racing category.",Car racing,Motor Sports,julien.guerin,julienguerinn,🏁 Chasing the dream to become a full-time racing driver — first mission: conquer the Coupe de France des Circuits!,,@julienjg_,,,https://media.peaxel.me/julien_guerin_card.png,https://media.peaxel.me/julien_guerin_talent.png,Wolf Racing France,Alès,Winner of WRF Simulator Challenge 2023,First test in Wolf Thunder GB0 2023,Joined Wolf Racing France for 2024,,,🇫🇷 France,1999-02-02,https://media.peaxel.me/julien_guerin_video.mp4
kutluhansormagec,"Kutluhan Sormagec is a professional Muay Thai and kickboxing fighter from Turkey. Standing at 6'1\"" (185 cm), he has competed in various international events, including the Rajadamnern World Series in Bangkok and Alash-Pride FC in Kazakhstan. Despite facing tough opponents, Sormagec continues to pursue his career in combat sports, representing Turkey in the middleweight division.",Muay Thai,Fight Sports,kutluhansormagec,,"🥊 Ready to evolve, fight harder, and rise to the next level.",,,,,https://media.peaxel.me/kutluhansormagec_card.png,https://media.peaxel.me/kutluhansormagec_talent.png,,,Alash-Pride FC: Battle in the Taraz - Bout vs. Galymzhan Kanaev - 2019,Freedom 12: Bout vs. Chaiwat Mueanphong - 2023,Rajadamnern World Series: Bout vs. Kongjak Por Pao-In 2023,,,🇹🇷 Turkey,1998-07-16,https://media.peaxel.me/kutluhansormagec_video.mp4
nathan_txr,"Nathan Texier is a French professional kiteboarder specializing in freestyle disciplines. He has competed in national and international events, including the French Kitefoil and Freestyle Championships and the GKA Kite World Tour. Nathan is a member of the Naish Team Europe and is associated with the Ride Academy club. He resides in Poulx, Occitanie, France, and continues to pursue his career in kiteboarding.",Kiteboarding,Water Sports,nathan.txr,,"🌬️ Aiming high — chasing King of the Air, breaking into the world’s top 5, and becoming world champion within five years.",,,,,https://media.peaxel.me/nathan_txr_card.png,https://media.peaxel.me/nathan_txr_talent.png,Ride Academy,Poulx,3rd Place - French Freestyle Espoirs Championship - 2023,4th Place - French Freestyle Espoirs Championship - 2024,Participation - Full Power Tarifa - 2024,,,🇫🇷 France,2006-08-22,https://media.peaxel.me/nathan_txr_video.mp4
Bulay.Dariia,"Dariia Bulay is a Ukrainian karateka specializing in kumite, competing in the +68 kg category. She has represented Ukraine in various international competitions, achieving notable success. In 2025, she secured a silver medal at the European Karate Championships in Yerevan, Armenia. Bulay has also performed well in the Karate1 Youth League events, earning medals in multiple years. She is affiliated with the Leader Karate Club in Ukraine and is a member of the Ukrainian national karate team.",Karate,Fight Sports,dasha_team_lt,,"⭐ Become World Champion and European Champion for several times, Olympic ChampionKarate",,,,,https://media.peaxel.me/Bulay.Dariia_card.png,https://media.peaxel.me/Bulay.Dariia_talent.png,Leader Karate Club,Chernivtsi,"Silver Medal - European Karate Championships, Women's +68 kg - 10 May 2025","Gold Medal - Karate1 Youth League Porec, Cadet Kumite Female +54 kg - 4 July 2022","Gold Medal - Karate1 Youth League Venice, Cadet Kumite Female +54 kg - 11 December 2022","Gold Medal - EKF Cadet Championships, Cadet Kumite Female +61 kg - 5 February 2023","Silver Medal - Karate1 Youth League A Coruña, Junior Kumite Female +66 kg - 2 May 2023",🇺🇦 Ukraine,2007-03-31,https://media.peaxel.me/bulay_dariia_video.mp4
Fernando_flores,"Fernando ""El Toro"" Flores is a professional mixed martial artist based in Umeå, Sweden, originally from Santiago, Chile. Competing primarily in the featherweight division, he has fought across regional MMA promotions in Europe and amassed a record of 14 wins and 13 losses through 2025. Known for his gritty fighting style and longevity in the sport, Flores has competed in notable events such as Superior Challenge and Ice Cage Fighting, facing high-level regional opponents, including veterans and international competitors. Within the Europe Nordic MMA rankings he is recognized among pro featherweights. Beyond competing, in 2025 he took on a leadership role within the Swedish MMA community, being involved in association activities aimed at strengthening the sport. As of late 2025, he announced his final professional MMA fight at Superior Challenge 29 in Stockholm. His career reflects both resilience and commitment to mixed martial arts, with numerous fights contested under various rule sets and organizations in Scandinavia and Northern Europe.",Mixed Martial Artist,Fight Sports,Fernando_flores,,"🥊  Become a great fighter and to show that MMA is a sport that is about much more than just fighting, while also enjoying the journey.
",,,,,https://media.peaxel.me/fernando_torres_card.png,https://media.peaxel.me/fernando_torres_profile.png,Renyi,Umeå,2025 – Win vs Carlos Eduardo de Azevedo (Submission) at Superior Challenge 29,2025 – Win vs Erick Ruano (Unanimous Decision) at Fight For Hope,2021 – Win vs Simon Skold (Decision) at Superior Challenge 22,2017 – Win vs Juuso Halme (Split Decision) at Carelia Fight 13,2017 – Win vs Thomas Hytten (Decision) at Superior Challenge 15,🇨🇱 Chilean,1983-11-18,https://media.peaxel.me/fernando_torres_vid.mp4
Tylian_pc,"Tylian Pachot is a French junior motor racing driver competing primarily in national circuit racing events in France. Licensed with the Fédération Française du Sport Automobile (FFSA) and registered under the Occitanie Pyrénées regional league, he races for the Armagnac Bigorre club. Pachot has been active in FFSA Circuit competitions, including participation in the Coupe de France des Circuits and Twin'Cup Sprint categories. Often contesting in monoplaces and other categories within the FFSA national series, his results place him as an emerging talent in national level motorsport competitions. Though still early in his career and not widely covered by international motorsport media, his presence on official FFSA results sheets confirms his participation in the 2025 racing season. Pachot continues to gain experience in competitive racing environments and is developing his motorsport portfolio with consistent event entries across circuits in France.
  ",Race Driver,Motor Sports,Tylian.pc,,"🏎️ Become a professional race driver
",,,,,https://media.peaxel.me/pxl_talent_card_tylian_pachot_2026.png,https://media.peaxel.me/pxl_talent_profile_tylian_pachot.png,Armagnac Bigorre,,"2025 – Competed in Coupe de France des Circuits at Pau Arnos (Monoplaces), finishing classification positions listed in official results.",2025 – Engaged in Coupe de France des Circuits at Nogaro.,2025 – Participated in Twin'Cup Sprint events in Coupe de France des Circuits.,,,🇫🇷 France,2007-07-16,https://media.peaxel.me/video_talents_tylian_pachot.mp4
